 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 SPR_est_may_def_desc: "The Madrid-based Defense Staff (EMAD) is an organ of the Spanish Ministry of Defense that operates as an auxiliary of the Chief of Defense Staff (JEMAD) within the organizational structure of the Armed Forces of Spain And in a hierarchical military position of dependency of that one. It is regulated by Organic Law 5/2005, of 17 November, of National Defense, Royal Decree 1551/2004 and Defense Order 1076/2005. Its objectives are to support the Chief of Staff, develop military strategy and design military operations. Its purpose is to assist the President of the Government and the Minister of Defense, the command of the military structure, the direction of the military operations, the planning and joint action of the Armed Forces of Spain and the multinational actions, as well as the coordination of The Chiefs of Staff of the Army, the Navy and the Air Force."
 emd_theorist: "EMAD"
 SPR_military_theorist: "The Command and Training Command"
 SPR_military_theorist_desc: "The Command and Training Command, MADOC, is the organ of Force Support responsible in the field of Spanish Army of the direction, inspection, Coordination and investigation in matters of doctrine, organic, materials, teaching and instructional systems, Training and evaluation for their application to combat. It also controls the process of lessons learned, is responsible for the development at its level of the missions derived from the legislation in force in the field of physical-military education and driving and road safety. MADOC is under the direct dependence of the Chief of Staff of the Army and advises him in the above mentioned matters, bearing before him the representation of the Arms and Corps of the Army."
 SPR_ege_military_theorist: "MADOC"
 SPR_naval_theorist: "The Center for Doctrine of the Fleet"
 SPR_naval_theorist_desc: "The Center for Doctrine of the Fleet (CEFLOT) is a unit of the Spanish Navy through which the Fleet Admiral conducts, promotes, regulates and inspects the procedure by which tactical doctrine is created. This center works with national and allied tactical doctrine generation agencies on behalf of the Fleet Admiral, through the Doctrine Section. It is also in charge of analyzing the experiences and observations related to the operations and exercises sent by the heads of the Force, from the Analysis Section. Its leadership is held by a naval captain of the General Corps of the Navy or a colonel of the Corps of Marine Corps. The CEFLOT operates as the Permanent Secretariat of the President of the Fleet Tactical Board (PREJUTAC), a working body that provides the necessary assistance for the development of its tasks to the Board."
 SPR_enm_naval_theorist: "CEFLOT"
 SPR_air_warfare_theorist: "Air Warfare Center"
 SPR_air_warfare_theorist_desc: "The Air Warfare Center (CEGA) is attached to the General Staff of the Air Force and is the body responsible for advising, researching and developing military thinking and doctrine, as well as the other functions and tasks established in Ministerial Order 83 / 2000."
 SPR_aga_air_warfare_theorist: "CEGA"
 SPR_santa_barbara_tank_manufacturer: "Armoured Fighting Vehicle (AFV)"
 SPR_ejercito_otan_idea: "NATO Model Army"
 SPR_ejercito_otan_idea_desc: "We need to improve the quality of our equipment, and the training of our troops. We might not have the largest army in the world, but Fuerzas Armadas Españolas must be known worldwide for being the most elite fighting force on earth."
 SPR_ejercito_popular_idea: "People's Army"
 SPR_ejercito_popular_idea_desc: "It is the instrument of power of the proletarian class. The existence of the People's Army is due to the need to protect and secure the achievements of socialism in the face of imperialist aggression. The motto is: "For the Defense of the Worker and Peasant Power"."
 EPR_academia_estado_mayor: "Higher School of the AFR"
 EPR_academia_estado_mayor_desc: "The Higher School of the Armed Forces of the Republic (hereinafter referred to as ESFAR) is the joint center in which the officers of the Major States of the three branches of the Armed Forces of the Republic (Army, Air and Armada), the Military Revolutionary Council and those destined in international organizations of security and defense with Spanish participation. This school is integrated in the Superior Center for Studies of National Defense (CESEDEN), which has its headquarters in the city of Madrid. In ESFAR, other teaching activities are carried out, such as the Qualification Course for the Promotion of the General Officer, the Superior Intelligence Training of the Armed Forces, the joint preparation phase to be promoted to commander or captain of corvette. Investigations are also carried out and disseminated related to the matters that affect the Armed Forces as a whole or to the joint and combined activities of the Defense. The Headquarters of the Higher School of the Armed Forces is held by a general officer who is assisted by another general officer, colonel or captain of the ship in charge of the Headquarters of Studies, and by a Secretariat of Studies."
 EPR_theorist: "ESFAR"
 EPR_EMT: "Staff of the Army"
 EPR_EMT_desc: "The new military doctrine is a system of opinions on the nature of war and the methods of undertaking it, and on the preparation of the country and the army for war, officially adopted in a given state and its armed forces. Theoreticians emphasized the political and "military-technical" aspects of military doctrine, while from the socialist point of view capitalists ignore the political aspect."
 EPR_estado_mayor_tierra: "Political-Military Doctrine"
 EPR_EMA: "Staff of the Navy"
 EPR_EMA_desc: "The new military doctrine is a system of opinions on the nature of war and the methods to undertake it, and on the preparation of the country and the army for war, officially adopted in a given state and its armed forces. Theoreticians emphasized the political and "military-technical" aspects of military doctrine, while from the socialist point of view capitalists ignore the political aspect. "
 EPR_estado_mayor_armada: "Political-Military Doctrine"
 EPR_EMEA: "Staff of the Air Force"
 EPR_EMEA_desc: "The new military doctrine is a system of opinions on the nature of war and the methods to undertake it, and on the preparation of the country and the army for war, officially adopted in a given state and its armed forces. Theoreticians emphasized the political and "military-technical" aspects of military doctrine, while from the socialist point of view capitalists ignore the political aspect. "
 EPR_estado_mayor_aire: "Political-Military Doctrine"
 EPR_doctrina_militar: "National Principles of War"
 EPR_doctrina_militar_desc: "For the Communists, war is a manifestation of the class struggle. It is an expression of the conflict between the "progressive forces of socialism" and the "reactionary forces of imperialist capitalism," which they believe will ultimately be resolved in favor of socialism. The Communist concept of war represents a continuation of politics. In Western perceptions, war occurs when politics fails to resolve conflicts nonviolently. Communists feel that war is the least desirable method by which the forces of history will move toward full victory for socialism. Communist political and military theorists compare the socialist and capitalist fields with a concept called "correlation of forces." This concept compares the relative political, moral, economic and military forces of both sides. In the communist vision, the correlation of forces has changed in favor of the capitalist camp. The Marxist-Leninist ideology requires that the correlation continually change in favor of socialism. The correlation of forces can be promoted by both violent and non-violent means. When it is advanced by violent means, the military component of the correlation is the dominant factor. Military doctrine contains two dimensions - sociopolitical and military-technical. The sociopolitical dimension, which derives from the class nature of a society, constitutes the basic framework of a state's national security policy and is formulated by the political leadership. The military-technical dimension is formulated within the sociopolitical framework. It focuses on the structure of the armed forces, their equipment and training, and planning for the conduct of war. Military-technical doctrine takes into account the conclusions of militay theory and practice and is largely the preserve of the professional military leadership. Because of the character of their concerns and the division of responsibilities whithin socialism system, political and military authorities look at the same issue from different angles, and on occasion derive what appear to be contradictory conclusions. An example of such an apparent contradiction is the traditional characterization of military doctrine as both defensive and offensive."
